UIC;Gare;Emplacement;Ligne ;Service;Jour;Horaire
0087381137;Asnières-sur-Seine;Parvis;LJ;Paniers Fraicheurs;Mardi;16h30 à 19h30
0087386425;Maisons Laffitte;Hall;LA;Paniers Fraicheurs;Mardi;16h00 à 19h30
0087382358;Saint-Cloud;Parvis;L;Paniers Fraicheurs;Jeudi;16h00 à 20h30
0087113217;Noisy le Sec;Hall;E;Paniers Fraicheurs;Mercredi;16h00 à 20h00
0087381459;Conflans Fin d'Oise;Hall;LAJ;Paniers Fraicheurs;Jeudi;16h30 à 19h30
0087393843;Saint-Quentin-en-Yvelines;Hall;NC;Paniers Fraicheurs;Jeudi;16h00 à 19h30
0087382382;Puteaux;Hall;L;Paniers Fraicheurs;Lundi;16h30 à 19h30
0087545210;Sainte-Geneviève-des-Bois;Parvis;C;Paniers Fraicheurs;Mardi;16h00 à 19h30
0087545178;Bouray;Parvis;C;Paniers Fraicheurs;Jeudi;16h00 à 20h00
0087382002;Bécon les Bruyères;Hall;L;Paniers Fraicheurs;Lundi;16h00 à 20h00
0087386409;Houilles - Carrière-sur-Seine;Hall;LAJ;Paniers Fraicheurs;Mardi;16h00 à 19h30
0087682161;Cesson;Parvis;D;Paniers Fraicheurs;Jeudi;16h30 à 19h30
0087393314;Rambouillet;Hall;N;Paniers Fraicheurs;Jeudi;16h00 à 19h30
0087116038;Roissy en Brie;Parvis;E;Paniers Fraicheurs;Jeudi;16h00 à 19h30
0087116210;Tournan;Parvis;EP;Paniers Fraicheurs;Jeudi;16h30 à 19h30
0087113779;Les Boullereaux Champigny;Parvis;E;Paniers Fraicheurs;Jeudi;16h00 à 20h00
0087654798;Rosa Parks;Parvis;E;Paniers Fraicheurs;Lundi;17h00 à 20h00
0087682203;Bois le Roi;Parvis;R;Paniers Fraicheurs;Mercredi;16h00 à 19h00
0087113746;Nogent - Le Perreux;Hall;E;Paniers Fraicheurs;Jeudi;17h30 à 19h30
0087684126;Nemours Saint Pierre;Parvis;R;Paniers Fraicheurs;Vendredi;16h30 à 20h00
0087393421;Plaisir Grignon;Parvis;N;Paniers Fraicheurs;Mercredi;16h30 à 19h30
0087545285;Choisy le Roi;Parvis;C;Paniers Fraicheurs;Jeudi;16h00 à 19h30
0087393256;La Verrière;Parvis;NU;Paniers Fraicheurs;Mardi;16h00 à 19h30
0087545186;Marolles-en-Hurepoix;Parvis;C;Paniers Fraicheurs;Mercredi;16h30 à 20h30
0087116046;Emerainville - Pontault-Combault;Parvis;E;Paniers Fraicheurs;Mardi;16h00 à 19h00
0087545194;Brétigny sur Orge;Parvis;C;Paniers Fraicheurs;Mardi;16h30 à 20h30
0087113803;Les Yvris Noisy-le-Grand;Hall;E;Paniers Fraicheurs;Mercredi;16h00 à 20h00
